s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Badghis,AF31,35.516666,63.61264,5
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Balkh,AF21,36.266376,66.864417,10
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Farah,AF33,32.385918,61.814847,60419
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Ghazni,AF11,33.086709,67.767134,43
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Ghor,AF23,33.877773,64.839648,5
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Helmand,AF30,30.459468,63.985773,24
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Helmand,AF30,30.459468,63.985773,19
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Herat,AF32,33.583128,62.015471,560
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kabul,AF01,34.498247,69.589362,43
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kandahar,AF27,30.561242,65.667892,24
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Kunduz,AF19,36.585567,68.751391,5
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Nangarhar,AF06,34.261704,70.840961,19
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Nimroz,AF34,30.175326,62.059899,19
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Paktya,AF13,33.785489,69.480059,5
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Takhar,AF18,37.088414,69.718364,5
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Uruzgan,AF25,33.132149,66.578813,5
Abu Nasr Farahi,1,Z1,32.165039,60.873467,Wardak,AF04,33.990654,68.504375,58
Angor ada,1,Z2,32.519404,69.272673,Baghlan,AF09,35.493251,68.532772,1
Angor ada,1,Z2,32.519404,69.272673,Balkh,AF21,36.266376,66.864417,10
Angor ada,1,Z2,32.519404,69.272673,Ghazni,AF11,33.086709,67.767134,320
Angor ada,1,Z2,32.519404,69.272673,Helmand,AF30,30.459468,63.985773,8
Angor ada,1,Z2,32.519404,69.272673,Kabul,AF01,34.498247,69.589362,181
Angor ada,1,Z2,32.519404,69.272673,Kandahar,AF27,30.561242,65.667892,47
Angor ada,1,Z2,32.519404,69.272673,Khost,AF14,33.366603,70.120995,344
Angor ada,1,Z2,32.519404,69.272673,Kunar,AF15,35.14243,71.400403,1
Angor ada,1,Z2,32.519404,69.272673,Kunduz,AF19,36.585567,68.751391,3
Angor ada,1,Z2,32.519404,69.272673,Logar,AF05,33.812225,68.970646,20
Angor ada,1,Z2,32.519404,69.272673,Nangarhar,AF06,34.261704,70.840961,6
Angor ada,1,Z2,32.519404,69.272673,Paktika,AF12,32.169088,68.751118,18444
Angor ada,1,Z2,32.519404,69.272673,Paktya,AF13,33.785489,69.480059,345
Angor ada,1,Z2,32.519404,69.272673,Wardak,AF04,33.990654,68.504375,7
Angor ada,1,Z2,32.519404,69.272673,Zabul,AF26,31.892012,67.572755,4
Bahramcha,1,Z3,29.42026,64.015136,Badakhshan,AF17,36.960125,70.810303,73
Bahramcha,1,Z3,29.42026,64.015136,Baghlan,AF09,35.493251,68.532772,49
Bahramcha,1,Z3,29.42026,64.015136,Balkh,AF21,36.266376,66.864417,24
Bahramcha,1,Z3,29.42026,64.015136,Farah,AF33,32.385918,61.814847,1747
Bahramcha,1,Z3,29.42026,64.015136,Faryab,AF29,35.641452,64.848759,24
Bahramcha,1,Z3,29.42026,64.015136,Ghazni,AF11,33.086709,67.767134,1480
Bahramcha,1,Z3,29.42026,64.015136,Ghor,AF23,33.877773,64.839648,24
Bahramcha,1,Z3,29.42026,64.015136,Helmand,AF30,30.459468,63.985773,131948
Bahramcha,1,Z3,29.42026,64.015136,Herat,AF32,33.583128,62.015471,1044
Bahramcha,1,Z3,29.42026,64.015136,Kabul,AF01,34.498247,69.589362,24
Bahramcha,1,Z3,29.42026,64.015136,Kabul,AF01,34.498247,69.589362,1699
Bahramcha,1,Z3,29.42026,64.015136,Kandahar,AF27,30.561242,65.667892,11625
Bahramcha,1,Z3,29.42026,64.015136,Kapisa,AF02,35.029641,69.579117,243
Bahramcha,1,Z3,29.42026,64.015136,Khost,AF14,33.366603,70.120995,121
Bahramcha,1,Z3,29.42026,64.015136,Kunar,AF15,35.14243,71.400403,24
Bahramcha,1,Z3,29.42026,64.015136,Kunduz,AF19,36.585567,68.751391,24
Bahramcha,1,Z3,29.42026,64.015136,Laghman,AF07,34.640812,70.190078,49
Bahramcha,1,Z3,29.42026,64.015136,Logar,AF05,33.812225,68.970646,243
Bahramcha,1,Z3,29.42026,64.015136,Nangarhar,AF06,34.261704,70.840961,267
Bahramcha,1,Z3,29.42026,64.015136,Nimroz,AF34,30.175326,62.059899,631
Bahramcha,1,Z3,29.42026,64.015136,Uruzgan,AF25,33.132149,66.578813,49
Bahramcha,1,Z3,29.42026,64.015136,Wardak,AF04,33.990654,68.504375,655
Bahramcha,1,Z3,29.42026,64.015136,Zabul,AF26,31.892012,67.572755,146
DAK,1,Z10,29.799839,61.130067,Badakhshan,AF17,36.960125,70.810303,169
